2025-06-17 16:19:51 | INFO | main:startup_event:80 | Starting Deepfake Detection API...
2025-06-17 16:19:51 | INFO | main:startup_event:80 | Starting Deepfake Detection API...
2025-06-17 16:19:51 | INFO | main:startup_event:88 | Application startup complete
2025-06-17 16:19:51 | INFO | main:startup_event:88 | Application startup complete
2025-06-17 16:19:57 | INFO | main:shutdown_event:93 | Shutting down Deepfake Detection API...
2025-06-17 16:19:57 | INFO | main:shutdown_event:93 | Shutting down Deepfake Detection API...
2025-06-17 16:21:52 | INFO | main:startup_event:80 | Starting Deepfake Detection API...
2025-06-17 16:21:52 | INFO | main:startup_event:80 | Starting Deepfake Detection API...
2025-06-17 16:21:52 | INFO | main:startup_event:88 | Application startup complete
2025-06-17 16:21:52 | INFO | main:startup_event:88 | Application startup complete
2025-06-17 16:21:58 | ERROR | app.api.endpoints.detection:detect_deepfake:197 | Unexpected error during detection: [Errno 2] No such file or directory: 'uploads'
2025-06-17 16:21:58 | ERROR | app.api.endpoints.detection:detect_deepfake:197 | Unexpected error during detection: [Errno 2] No such file or directory: 'uploads'
2025-06-17 16:21:58 | ERROR | app.core.exceptions:http_exception_handler:72 | HTTPException: Internal server error during detection
2025-06-17 16:21:58 | ERROR | app.core.exceptions:http_exception_handler:72 | HTTPException: Internal server error during detection
2025-06-17 16:21:58 | INFO | main:shutdown_event:93 | Shutting down Deepfake Detection API...
2025-06-17 16:21:58 | INFO | main:shutdown_event:93 | Shutting down Deepfake Detection API...
2025-06-17 16:22:48 | INFO | main:startup_event:80 | Starting Deepfake Detection API...
2025-06-17 16:22:48 | INFO | main:startup_event:80 | Starting Deepfake Detection API...
2025-06-17 16:22:48 | INFO | main:startup_event:88 | Application startup complete
2025-06-17 16:22:48 | INFO | main:startup_event:88 | Application startup complete
2025-06-17 16:22:53 | INFO | app.models.base_detector:_get_device:38 | GPU check skipped (torch disabled). Reporting 'gpu' if ENABLE_GPU is true.
2025-06-17 16:22:53 | INFO | app.models.base_detector:_get_device:38 | GPU check skipped (torch disabled). Reporting 'gpu' if ENABLE_GPU is true.
2025-06-17 16:22:53 | WARNING | app.models.image_detector:__init__:90 | Image detector determined to be NON-functional (cv2 or torch unavailable).
2025-06-17 16:22:53 | WARNING | app.models.image_detector:__init__:90 | Image detector determined to be NON-functional (cv2 or torch unavailable).
2025-06-17 16:22:53 | ERROR | app.api.endpoints.detection:perform_detection:134 | Detection failed for /app/backend/uploads/dummy_test_file.jpg:
2025-06-17 16:22:53 | ERROR | app.api.endpoints.detection:perform_detection:134 | Detection failed for /app/backend/uploads/dummy_test_file.jpg:
